type:Admin,legalName:Bank Administrator,userName:admin,password:123456
type:Individual,legalName:Nektarios Gioldasis,userName:ngioldasis,password:123456,vatNumber:067688302
type:Individual,legalName:Donald Trump,userName:dtrump,password:123456,vatNumber:067688303
type:Individual,legalName:Natalia Paizi,userName:npaizi,password:123456,vatNumber:067688304
type:Individual,legalName:Dimitris Kariofilis,userName:dkariofilis,password:123456,vatNumber:067688305
type:Individual,legalName:Maria Cookie,userName:mcookie,password:123456,vatNumber:067688306
type:Individual,legalName:Giorgos Iliakis,userName:giliakis,password:123456,vatNumber:067688307
type:Company,legalName:Vrodafone Gr,userName:vodafone,password:123456,vatNumber:090800700
type:Company,legalName:Cosmote,userName:cosmote,password:123456,vatNumber:090800800
type:Company,legalName:DEI Co,userName:dei,password:123456,vatNumber:090800900
type:Company,legalName:Deep State,userName:doraimikriexereunitria,password:123456,vatNumber:090800600
type:Company,legalName:Bank,userName:bank,password:bank,vatNumber:bank
